,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,days_studied,activities_engaged,total_clicks,assessments_completed,average_assessment_score
5861,BBB,2014J,522189,F,Wales,Lower Than A Level,30-40%,0-35,3,60,N,Pass,-52.0,262.0,262,64.0,395.0,1357.0,0.8333333333333334,60.4
5862,BBB,2014J,522381,F,Scotland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,-67.0,262.0,262,74.0,271.0,995.0,0.8333333333333334,59.0
5863,BBB,2014J,522478,F,East Midlands Region,Lower Than A Level,10-20,35-55,0,210,Y,Fail,-60.0,262.0,262,12.0,88.0,205.0,0.16666666666666666,1.0
5864,BBB,2014J,522784,F,Wales,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-32.0,24.0,262,0.0,0.0,0.0,0.0,0.0
5865,BBB,2014J,523132,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,1,60,N,Pass,-81.0,262.0,262,75.0,354.0,1280.0,0.8333333333333334,72.0
5866,BBB,2014J,523831,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-128.0,156.0,262,20.0,106.0,783.0,0.3333333333333333,79.5
5867,BBB,2014J,523905,F,South Region,Lower Than A Level,70-80%,35-55,0,120,N,Pass,-94.0,262.0,262,103.0,467.0,1552.0,0.8333333333333334,69.6
5868,BBB,2014J,524043,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-66.0,262.0,262,26.0,106.0,328.0,0.8333333333333334,81.8
5869,BBB,2014J,526789,F,North Western Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,-122.0,12.0,262,0.0,0.0,0.0,0.0,0.0
5870,BBB,2014J,527102,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Fail,-160.0,262.0,262,27.0,116.0,202.0,0.3333333333333333,79.0
5871,BBB,2014J,527742,F,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,-48.0,262.0,262,5.0,12.0,14.0,0.8333333333333334,73.8
5872,BBB,2014J,528432,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Distinction,-57.0,262.0,262,52.0,179.0,417.0,0.8333333333333334,89.8
5873,BBB,2014J,528702,F,Wales,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-23.0,262.0,262,47.0,286.0,660.0,0.5,47.666666666666664
5874,BBB,2014J,530021,F,London Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn,-73.0,153.0,262,22.0,111.0,359.0,0.5,67.0
5875,BBB,2014J,530772,F,Wales,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-155.0,262.0,262,170.0,693.0,2709.0,0.8333333333333334,84.6
5876,BBB,2014J,530941,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-39.0,262.0,262,49.0,301.0,989.0,0.8333333333333334,82.4
5877,BBB,2014J,531450,F,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-48.0,262.0,262,107.0,454.0,1400.0,0.8333333333333334,67.6
5878,BBB,2014J,531753,M,Scotland,Lower Than A Level,50-60%,35-55,1,60,N,Pass,-122.0,262.0,262,82.0,338.0,1256.0,0.8333333333333334,78.4
5879,BBB,2014J,531865,M,Scotland,HE Qualification,10-20,35-55,0,60,N,Pass,-73.0,262.0,262,60.0,315.0,1167.0,0.8333333333333334,65.0
5880,BBB,2014J,532779,F,East Anglian Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-91.0,262.0,262,35.0,284.0,1274.0,0.8333333333333334,50.4
5881,BBB,2014J,533209,F,Wales,HE Qualification,40-50%,35-55,0,60,N,Pass,-21.0,262.0,262,49.0,349.0,829.0,0.8333333333333334,74.8
5882,BBB,2014J,534428,F,North Region,Lower Than A Level,20-30%,0-35,1,120,N,Pass,-81.0,262.0,262,44.0,165.0,524.0,0.8333333333333334,46.8
5883,BBB,2014J,534588,F,South Region,A Level or Equivalent,70-80%,35-55,1,120,N,Withdrawn,-9.0,12.0,262,7.0,29.0,114.0,0.16666666666666666,1.0
5884,BBB,2014J,534715,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,-43.0,262.0,262,39.0,182.0,493.0,0.8333333333333334,75.0
5885,BBB,2014J,534884,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-52.0,157.0,262,23.0,98.0,177.0,0.3333333333333333,77.0
5886,BBB,2014J,535963,F,Yorkshire Region,HE Qualification,70-80%,35-55,0,60,N,Distinction,-35.0,262.0,262,103.0,498.0,1518.0,0.8333333333333334,70.2
5887,BBB,2014J,536767,F,Wales,Lower Than A Level,60-70%,0-35,0,60,Y,Fail,-42.0,262.0,262,6.0,35.0,67.0,0.6666666666666666,57.75
5889,BBB,2014J,537221,F,South West Region,A Level or Equivalent,0-10%,0-35,3,120,N,Withdrawn,-70.0,59.0,262,0.0,0.0,0.0,0.0,0.0
5890,BBB,2014J,537640,F,South Region,Lower Than A Level,50-60%,0-35,0,60,Y,Distinction,-131.0,262.0,262,75.0,349.0,976.0,0.8333333333333334,67.6
5891,BBB,2014J,539635,F,South East Region,HE Qualification,80-90%,35-55,0,120,N,Distinction,-29.0,262.0,262,102.0,504.0,1814.0,0.8333333333333334,81.8
5892,BBB,2014J,539657,M,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,-160.0,12.0,262,0.0,0.0,0.0,0.0,0.0
5893,BBB,2014J,541123,F,North Western Region,No Formal quals,0-10%,35-55,0,120,N,Withdrawn,-155.0,12.0,262,6.0,17.0,28.0,0.0,0.0
5894,BBB,2014J,541171,F,Wales,A Level or Equivalent,60-70%,0-35,2,60,N,Fail,-122.0,262.0,262,26.0,141.0,518.0,0.5,42.666666666666664
5895,BBB,2014J,541315,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Fail,-53.0,262.0,262,41.0,207.0,654.0,0.8333333333333334,41.4
5896,BBB,2014J,541476,F,Wales,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-78.0,262.0,262,215.0,864.0,3176.0,0.8333333333333334,58.6
5897,BBB,2014J,541995,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,Y,Withdrawn,-79.0,12.0,262,3.0,26.0,116.0,0.0,0.0
5898,BBB,2014J,542164,F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Pass,-81.0,262.0,262,51.0,306.0,1246.0,0.8333333333333334,72.4
5899,BBB,2014J,543439,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-108.0,262.0,262,46.0,248.0,1130.0,0.8333333333333334,58.2
5900,BBB,2014J,545964,F,South West Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-78.0,262.0,262,58.0,223.0,783.0,0.8333333333333334,74.2
5901,BBB,2014J,546114,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-73.0,12.0,262,0.0,0.0,0.0,0.0,0.0
5902,BBB,2014J,546250,F,North Western Region,HE Qualification,0-10%,0-35,0,60,Y,Pass,-67.0,262.0,262,28.0,144.0,284.0,0.8333333333333334,61.8
5903,BBB,2014J,547408,F,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-71.0,262.0,262,45.0,287.0,1483.0,0.8333333333333334,59.6
5904,BBB,2014J,547788,F,Scotland,HE Qualification,70-80%,0-35,0,60,N,Pass,-99.0,262.0,262,93.0,452.0,1297.0,0.8333333333333334,77.0
5905,BBB,2014J,549288,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,-77.0,24.0,262,8.0,29.0,54.0,0.16666666666666666,100.0
5906,BBB,2014J,549775,F,London Region,Lower Than A Level,30-40%,0-35,0,180,N,Distinction,-17.0,262.0,262,62.0,311.0,1483.0,0.8333333333333334,65.8
5907,BBB,2014J,550081,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-128.0,262.0,262,129.0,383.0,961.0,0.8333333333333334,70.0
5908,BBB,2014J,550245,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-157.0,262.0,262,31.0,122.0,227.0,0.8333333333333334,71.2
5909,BBB,2014J,551000,F,Wales,A Level or Equivalent,40-50%,0-35,1,120,N,Fail,-29.0,262.0,262,41.0,146.0,546.0,0.6666666666666666,37.25
5910,BBB,2014J,551237,F,West Midlands Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,-23.0,2.0,262,8.0,86.0,209.0,0.16666666666666666,1.0
5911,BBB,2014J,551242,F,South West Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-102.0,262.0,262,75.0,457.0,1770.0,0.8333333333333334,69.4
5912,BBB,2014J,551276,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Pass,-122.0,262.0,262,2.0,9.0,38.0,0.8333333333333334,76.8
5913,BBB,2014J,551922,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-162.0,262.0,262,30.0,133.0,385.0,0.8333333333333334,68.0
5914,BBB,2014J,552698,M,South West Region,Lower Than A Level,10-20,35-55,0,60,Y,Fail,-15.0,262.0,262,48.0,269.0,640.0,0.8333333333333334,52.0
5915,BBB,2014J,554048,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-65.0,262.0,262,37.0,293.0,1130.0,0.8333333333333334,61.6
5916,BBB,2014J,554243,F,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Fail,-31.0,262.0,262,22.0,100.0,204.0,0.5,78.0
5917,BBB,2014J,554599,F,Wales,A Level or Equivalent,0-10%,0-35,1,60,Y,Pass,-30.0,262.0,262,33.0,130.0,301.0,0.8333333333333334,75.0
5918,BBB,2014J,555749,F,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-31.0,262.0,262,28.0,202.0,657.0,0.8333333333333334,87.8
5919,BBB,2014J,556290,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn,-160.0,45.0,262,10.0,58.0,144.0,0.16666666666666666,1.0
5920,BBB,2014J,556644,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-67.0,262.0,262,92.0,369.0,1689.0,0.8333333333333334,62.8
5921,BBB,2014J,556863,F,South West Region,A Level or Equivalent,20-30%,35-55,1,60,N,Pass,-113.0,262.0,262,29.0,166.0,715.0,0.8333333333333334,83.8
5922,BBB,2014J,559344,M,South Region,A Level or Equivalent,70-80%,0-35,1,120,N,Pass,-81.0,262.0,262,51.0,184.0,501.0,0.8333333333333334,58.2
5923,BBB,2014J,559685,F,Scotland,HE Qualification,20-30%,35-55,1,60,N,Fail,-30.0,262.0,262,8.0,60.0,167.0,0.16666666666666666,100.0
5924,BBB,2014J,559973,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-58.0,153.0,262,21.0,112.0,313.0,0.5,57.0
5925,BBB,2014J,560089,F,South Region,A Level or Equivalent,30-40%,35-55,1,60,N,Pass,-128.0,262.0,262,29.0,213.0,912.0,0.8333333333333334,55.6
5926,BBB,2014J,560208,M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Pass,-35.0,262.0,262,30.0,122.0,364.0,0.8333333333333334,72.8
5927,BBB,2014J,560597,F,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,-162.0,262.0,262,45.0,282.0,1211.0,0.8333333333333334,89.0
5928,BBB,2014J,560652,M,South East Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-81.0,262.0,262,28.0,189.0,744.0,0.8333333333333334,75.6
5929,BBB,2014J,561206,F,East Anglian Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-24.0,262.0,262,40.0,167.0,783.0,0.8333333333333334,50.8
5930,BBB,2014J,561608,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Pass,-31.0,262.0,262,80.0,324.0,938.0,0.8333333333333334,35.4
5931,BBB,2014J,561618,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass,-70.0,262.0,262,95.0,427.0,1678.0,0.8333333333333334,67.0
5932,BBB,2014J,561752,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-153.0,262.0,262,22.0,172.0,618.0,0.8333333333333334,76.2
5933,BBB,2014J,561979,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,Y,Pass,-31.0,262.0,262,12.0,39.0,65.0,0.8333333333333334,68.8
5934,BBB,2014J,562239,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-162.0,262.0,262,106.0,434.0,1900.0,0.6666666666666666,59.75
5935,BBB,2014J,563027,F,South East Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-60.0,262.0,262,46.0,248.0,816.0,0.8333333333333334,42.8
5936,BBB,2014J,563302,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-30.0,262.0,262,68.0,307.0,1336.0,0.8333333333333334,42.6
5937,BBB,2014J,563820,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,-31.0,262.0,262,88.0,438.0,1105.0,0.8333333333333334,70.4
5939,BBB,2014J,564278,F,London Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,-63.0,262.0,262,120.0,572.0,2405.0,0.8333333333333334,65.2
5940,BBB,2014J,565182,F,Scotland,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,-37.0,262.0,262,86.0,534.0,1669.0,0.8333333333333334,86.2
5941,BBB,2014J,565273,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,120,N,Distinction,-161.0,262.0,262,89.0,520.0,1775.0,0.8333333333333334,94.4
5942,BBB,2014J,565575,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-39.0,262.0,262,37.0,192.0,683.0,0.8333333333333334,82.0
5943,BBB,2014J,565576,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-155.0,262.0,262,98.0,453.0,1890.0,0.8333333333333334,74.6
5944,BBB,2014J,565599,F,London Region,HE Qualification,0-10%,0-35,0,60,N,Distinction,-131.0,262.0,262,156.0,727.0,2186.0,0.8333333333333334,70.0
5945,BBB,2014J,568019,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-25.0,262.0,262,27.0,170.0,590.0,0.8333333333333334,58.0
5946,BBB,2014J,568232,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-142.0,262.0,262,35.0,284.0,1989.0,0.8333333333333334,70.4
5947,BBB,2014J,568749,F,Yorkshire Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-163.0,262.0,262,126.0,576.0,2372.0,0.8333333333333334,76.4
5948,BBB,2014J,568775,F,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,-37.0,142.0,262,23.0,67.0,208.0,0.3333333333333333,75.0
5949,BBB,2014J,569589,F,South East Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-128.0,262.0,262,125.0,604.0,3310.0,0.8333333333333334,81.8
5950,BBB,2014J,569981,F,South Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-66.0,262.0,262,57.0,316.0,1296.0,0.8333333333333334,69.6
5951,BBB,2014J,570275,F,Scotland,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,-45.0,262.0,262,79.0,519.0,2394.0,0.8333333333333334,74.4
5952,BBB,2014J,570484,F,East Anglian Region,HE Qualification,20-30%,0-35,0,60,N,Pass,-147.0,262.0,262,147.0,652.0,2355.0,0.8333333333333334,73.0
5953,BBB,2014J,570692,F,North Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-157.0,46.0,262,9.0,51.0,123.0,0.16666666666666666,100.0
5954,BBB,2014J,571334,F,West Midlands Region,Lower Than A Level,90-100%,35-55,0,60,N,Fail,-113.0,262.0,262,40.0,261.0,1278.0,0.8333333333333334,67.8
5955,BBB,2014J,571395,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,-87.0,262.0,262,11.0,25.0,40.0,0.8333333333333334,43.4
5956,BBB,2014J,571641,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Distinction,-74.0,262.0,262,27.0,107.0,440.0,0.8333333333333334,82.4
5957,BBB,2014J,571868,F,East Midlands Region,Lower Than A Level,80-90%,0-35,1,120,N,Withdrawn,-79.0,5.0,262,5.0,20.0,43.0,0.0,0.0
5958,BBB,2014J,572032,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-162.0,262.0,262,81.0,409.0,1418.0,0.8333333333333334,54.8
5959,BBB,2014J,572101,F,North Western Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-161.0,262.0,262,90.0,253.0,1032.0,0.8333333333333334,66.2
5960,BBB,2014J,572106,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,N,Fail,-160.0,262.0,262,4.0,12.0,33.0,0.5,76.66666666666667
5961,BBB,2014J,572119,F,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,-122.0,262.0,262,18.0,93.0,361.0,0.8333333333333334,76.8
5962,BBB,2014J,572306,F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-154.0,262.0,262,19.0,90.0,237.0,0.8333333333333334,58.6
5963,BBB,2014J,572371,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,-144.0,201.0,262,24.0,91.0,341.0,0.6666666666666666,34.5
5964,BBB,2014J,572395,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-41.0,262.0,262,53.0,264.0,709.0,0.8333333333333334,80.6
5965,BBB,2014J,572496,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,-144.0,262.0,262,46.0,301.0,1086.0,0.8333333333333334,55.6
5966,BBB,2014J,572538,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,Y,Pass,-130.0,262.0,262,49.0,247.0,1103.0,0.8333333333333334,70.4
5967,BBB,2014J,573130,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-120.0,262.0,262,86.0,427.0,1334.0,0.8333333333333334,52.4
5968,BBB,2014J,573131,F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,-11.0,262.0,262,32.0,180.0,663.0,0.8333333333333334,65.2
5969,BBB,2014J,573252,F,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,-25.0,40.0,262,4.0,20.0,27.0,0.16666666666666666,1.0
5970,BBB,2014J,573297,F,Wales,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-60.0,262.0,262,64.0,318.0,1035.0,0.8333333333333334,61.0
5971,BBB,2014J,573534,F,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-36.0,262.0,262,43.0,329.0,1140.0,0.6666666666666666,44.25
5972,BBB,2014J,573554,F,South East Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-16.0,5.0,262,0.0,0.0,0.0,0.0,0.0
5973,BBB,2014J,573713,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-149.0,262.0,262,38.0,470.0,2898.0,0.8333333333333334,61.4
5974,BBB,2014J,573873,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-120.0,262.0,262,3.0,13.0,32.0,0.0,0.0
5975,BBB,2014J,573934,F,Wales,Lower Than A Level,0-10%,35-55,0,60,N,Pass,-113.0,262.0,262,87.0,321.0,1201.0,0.8333333333333334,72.4
5976,BBB,2014J,574031,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-154.0,262.0,262,118.0,728.0,3136.0,0.8333333333333334,75.6
5977,BBB,2014J,574063,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-162.0,262.0,262,14.0,114.0,497.0,0.8333333333333334,82.4
5978,BBB,2014J,574244,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-109.0,262.0,262,50.0,184.0,590.0,0.6666666666666666,62.0
5979,BBB,2014J,574253,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-162.0,262.0,262,36.0,235.0,968.0,0.8333333333333334,58.8
5980,BBB,2014J,574512,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-129.0,262.0,262,42.0,93.0,199.0,0.8333333333333334,59.4
5981,BBB,2014J,574841,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-45.0,262.0,262,60.0,227.0,820.0,0.8333333333333334,60.4
5982,BBB,2014J,574849,F,Wales,A Level or Equivalent,80-90%,35-55,1,60,N,Pass,-23.0,262.0,262,50.0,316.0,1107.0,0.8333333333333334,54.8
5983,BBB,2014J,574865,F,South Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,-136.0,262.0,262,79.0,386.0,1463.0,0.8333333333333334,71.2
5984,BBB,2014J,575404,F,Wales,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-70.0,262.0,262,40.0,209.0,500.0,0.6666666666666666,55.5
5985,BBB,2014J,575630,F,East Midlands Region,Lower Than A Level,0-10%,0-35,2,120,N,Pass,-87.0,262.0,262,47.0,367.0,956.0,0.8333333333333334,63.2
5986,BBB,2014J,575892,F,London Region,HE Qualification,20-30%,0-35,1,60,Y,Withdrawn,-100.0,20.0,262,5.0,60.0,142.0,0.0,0.0
5987,BBB,2014J,576203,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Fail,-108.0,262.0,262,4.0,33.0,48.0,0.16666666666666666,100.0
5988,BBB,2014J,576262,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,-32.0,200.0,262,6.0,51.0,150.0,0.5,85.0
5989,BBB,2014J,576268,F,South West Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,-162.0,262.0,262,52.0,206.0,472.0,0.8333333333333334,62.4
5990,BBB,2014J,576445,F,East Midlands Region,Lower Than A Level,10-20,35-55,0,120,Y,Withdrawn,-64.0,24.0,262,6.0,48.0,107.0,0.0,0.0
5991,BBB,2014J,576689,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-131.0,262.0,262,48.0,272.0,1115.0,0.8333333333333334,65.8
5992,BBB,2014J,576913,M,Ireland,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-28.0,262.0,262,26.0,117.0,310.0,0.6666666666666666,66.75
5993,BBB,2014J,576923,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-161.0,262.0,262,144.0,563.0,1615.0,0.8333333333333334,54.2
5994,BBB,2014J,577354,F,Wales,HE Qualification,70-80%,0-35,1,60,N,Withdrawn,-65.0,40.0,262,11.0,59.0,256.0,0.16666666666666666,100.0
5995,BBB,2014J,577467,F,Wales,A Level or Equivalent,10-20,0-35,0,120,N,Distinction,-51.0,262.0,262,59.0,331.0,1167.0,0.8333333333333334,80.0
5996,BBB,2014J,577618,F,East Midlands Region,HE Qualification,40-50%,35-55,1,60,N,Pass,-131.0,262.0,262,34.0,209.0,814.0,0.8333333333333334,69.8
5997,BBB,2014J,577645,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,60,N,Distinction,-114.0,262.0,262,74.0,350.0,2415.0,0.8333333333333334,89.0
5998,BBB,2014J,577728,F,London Region,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,-72.0,262.0,262,5.0,31.0,140.0,0.8333333333333334,42.0
5999,BBB,2014J,577743,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-80.0,262.0,262,47.0,272.0,1008.0,0.8333333333333334,59.6
6000,BBB,2014J,577965,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,1,120,N,Distinction,-72.0,262.0,262,70.0,303.0,1282.0,0.8333333333333334,77.2
6001,BBB,2014J,578132,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-51.0,262.0,262,90.0,506.0,1809.0,0.8333333333333334,70.0
6002,BBB,2014J,578418,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-84.0,193.0,262,22.0,120.0,408.0,0.6666666666666666,43.75
6003,BBB,2014J,578439,F,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-88.0,262.0,262,8.0,29.0,73.0,0.8333333333333334,45.0
6004,BBB,2014J,578445,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,90,N,Withdrawn,-24.0,12.0,262,0.0,0.0,0.0,0.0,0.0
6005,BBB,2014J,578551,F,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Pass,-142.0,262.0,262,74.0,523.0,2762.0,0.8333333333333334,42.6
6006,BBB,2014J,578710,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-48.0,262.0,262,52.0,274.0,1001.0,0.8333333333333334,76.2
6007,BBB,2014J,578861,F,South East Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-161.0,262.0,262,122.0,694.0,2842.0,0.8333333333333334,56.4
6008,BBB,2014J,579161,F,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-94.0,262.0,262,15.0,53.0,137.0,0.8333333333333334,80.4
6009,BBB,2014J,579251,M,Wales,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-30.0,262.0,262,8.0,46.0,172.0,0.5,68.0
6010,BBB,2014J,579409,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-53.0,262.0,262,20.0,97.0,330.0,0.8333333333333334,48.6
6011,BBB,2014J,579486,M,East Anglian Region,Lower Than A Level,20-30%,35-55,1,60,N,Fail,-81.0,262.0,262,4.0,6.0,13.0,0.0,0.0
6012,BBB,2014J,581016,F,South East Region,Lower Than A Level,40-50%,0-35,1,60,N,Pass,-161.0,262.0,262,89.0,393.0,1606.0,0.8333333333333334,58.4
6013,BBB,2014J,581118,F,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-44.0,262.0,262,37.0,207.0,828.0,0.8333333333333334,82.2
6014,BBB,2014J,581178,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-81.0,262.0,262,22.0,102.0,359.0,0.8333333333333334,63.2
6015,BBB,2014J,581235,F,West Midlands Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,-144.0,262.0,262,40.0,161.0,639.0,0.6666666666666666,83.0
6016,BBB,2014J,581866,F,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-60.0,262.0,262,69.0,389.0,1515.0,0.8333333333333334,76.4
6017,BBB,2014J,581877,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,Y,Pass,-107.0,262.0,262,30.0,257.0,708.0,0.8333333333333334,73.0
6018,BBB,2014J,582040,F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-73.0,262.0,262,17.0,74.0,140.0,0.8333333333333334,88.2
6019,BBB,2014J,582253,F,North Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-43.0,262.0,262,73.0,410.0,1689.0,0.8333333333333334,75.2
6020,BBB,2014J,582348,F,Scotland,A Level or Equivalent,20-30%,0-35,0,90,N,Fail,-45.0,262.0,262,18.0,82.0,200.0,0.5,79.33333333333333
6021,BBB,2014J,582460,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,-70.0,262.0,262,99.0,306.0,1502.0,0.8333333333333334,73.2
6022,BBB,2014J,582694,F,South Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,-99.0,123.0,262,21.0,124.0,392.0,0.5,82.33333333333333
